"%1 day of month","%1 day of month"
"%1 of %2 orders","%1 of %2 orders"
"%1 orders left","%1 orders left"
"%1 payment","%1 payment"
"%1 payments","%1 payments"
"--Please Select--","--Please Select--"
"A total of %1 record(s) have been activated.","A total of %1 record(s) have been activated."
"A total of %1 record(s) have been cancelled.","A total of %1 record(s) have been cancelled."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"A total of %1 record(s) have been suspended.","A total of %1 record(s) have been suspended."
"A total of %1 record(s) have not been activated because this operation is not available.","A total of %1 record(s) have not been activated because this operation is not available."
"A total of %1 record(s) have not been cancelled because this operation is not available.","A total of %1 record(s) have not been cancelled because this operation is not available."
"A total of %1 record(s) have not been suspended because this operation is not available.","A total of %1 record(s) have not been suspended because this operation is not available."
"Activate","Activate"
"Activate Subscription","Activate Subscription"
"Activate this Subscription","Activate this Subscription"
"Actions","Actions"
"Active","Active"
"Add","Add"
"Add Subscription Plan","Add Subscription Plan"
"Additional Pricing Settings","Additional Pricing Settings"
"Addresses, Shipping And Payment Methods","Addresses, Shipping And Payment Methods"
"Apply Tax on Shipping Amount","Apply Tax on Shipping Amount"
"Apply Tax on Trial Amount","Apply Tax on Trial Amount"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Authorize.net","Authorize.net"
"Billing Address","Billing Address"
"Buy request is required.","Buy request is required."
"Cancel","Cancel"
"Cancel Subscription","Cancel Subscription"
"Cancel this Subscription","Cancel this Subscription"
"Cancelled","Cancelled"
"Change status","Change status"
"City","City"
"Company","Company"
"Confirmation","Confirmation"
"Continue Shopping","Continue Shopping"
"Continue to Checkout","Continue to Checkout"
"Continue to Paypal","Continue to Paypal"
"Country","Country"
"Could not save recurring profile.","Could not save recurring profile."
"Created At","Created At"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Customer","Customer"
"Date","Date"
"Day","Day"
"Daily","Daily"
"Debug","Debug"
"Defined by customer","Defined by customer"
"Delete","Delete"
"Description (256 characters max, HTML is supported)","Description (256 characters max, HTML is supported)"
"Disable","Disable"
"Disabled","Disabled"
"Display "You Save X %" on Product Page","Display "You Save X %" on Product Page"
"Each Payment (except Trial Period, excl. tax and shipping)","Each Payment (except Trial Period, excl. tax and shipping)"
"edit","edit"
"Edit Subscription Plan","Edit Subscription Plan"
"Email","Email"
"Enable","Enable"
"Enable Initial Fee","Enable Initial Fee"
"Enable Trial Period","Enable Trial Period"
"Enabled","Enabled"
"Email Address","Email Address"
"Every...","Every..."
"Every %1 %2","Every %1 %2"
"Exact day of month","Exact day of month"
"Expired","Expired"
"Express Checkout has been canceled.","Express Checkout has been canceled."
"First Name","First Name"
"Gateway has rejected request. %1","Gateway has rejected request. %1"
"General","General"
"General Information","General Information"
"Get Support","Get Support"
"Group","Group"
"ID","ID"
"If not specified, Timezone from General Config will be used","If not specified, Timezone from General Config will be used"
"Infinite","Infinite"
"Initial Fee","Initial Fee"
"Item cannot be added to subscription cart.","Item cannot be added to subscription cart."
"Item in Subscription","Item in Subscription"
"Items in Subscription","Items in Subscription"
"Last day of current month","Last day of current month"
"Last Name","Last Name"
"Last Order","Last Order"
"Last Order Date","Last Order Date"
"Last Order Grand Total","Last Order Grand Total"
"Leave 0 or empty for infinite subscription","Leave 0 or empty for infinite subscription"
"Leave empty to disable","Leave empty to disable"
"Live Publishable Key","Live Publishable Key"
"Live Secret Key","Live Secret Key"
"Login","Login"
"Merchant Timezone","Merchant Timezone"
"Moment of purchase","Moment of purchase"
"Month","Month"
"Monthly","Monthly"
"My Orders","My Orders"
"My Subscriptions","My Subscriptions"
"Name","Name"
"Name is required.","Name is required."
"New Subscription Plan","New Subscription Plan"
"Next","Next"
"No","No"
"No shipping information available.","No shipping information available."
"Number Of Payments","Number Of Payments"
"Number Of Trial Payments","Number Of Trial Payments"
"Optional","Optional"
"Order #","Order #"
"Order Status","Order Status"
"Order Total","Order Total"
"Orders","Orders"
"Password","Password"
"Past due","Past due"
"Payment","Payment"
"Payment Method","Payment Method"
"Payment Reference ID","Payment Reference ID"
"Payments","Payments"
